"db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette"
"sharon","{2,2}-mer","BisectingKMeans",0.239273112279741,0.199582574397112,0.217632727124646,0.09551696104593,0.176901874690602,-0.0554074872280047
"sharon","{2,2}-mer","GaussianMixture",0.200801201906476,0.25005979091904,0.222728340969404,0.124873817215741,0.203342922428128,0.00599914726884753
"sharon","{2,2}-mer","KMeans",0.298094890072808,0.265662371747417,0.280945141851764,0.177864109831602,0.247632152108143,-0.0589209498775399
"sharon","{2,2}-mer","MiniBatchKMeans",0.307601440789296,0.245777454730724,0.273223705968896,0.15397770223793,0.231970247790485,-0.116903437926736
"sharon","{2,2}-mer","Spectral",0.304880770908022,0.237403147425464,0.266943427472454,0.146374595225614,0.22499814826858,-0.0748682638997358
"sharon","{2,2}-mer","agglomerative.clust",0.33197728444634,0.254546906818995,0.288150189921208,0.155273201333662,0.247791709868819,-0.128542000972716
"low","{1,3}-mer","AffinityPropagation",0.122348363071167,0.0813238612503012,0.0977044497427065,5.29359581185485e-05,-0.000667246509125846,-0.128703272878305
"low","{1,3}-mer","BisectingKMeans",0.0551579059258202,0.046304543502949,0.0503449634589547,-0.000476606994084852,5.80806774243781e-05,-0.0546914428436507
"low","{1,3}-mer","GaussianMixture",0.0228703076239862,0.0283612088833868,0.0253215058218251,0.00139378381581918,0.0016310184900074,0.0108563664436746
"low","{1,3}-mer","KMeans",0.0532618883721486,0.0456146422409062,0.0491425410682819,0.000704340231497459,0.00237975642955334,-0.0633209700261599
"low","{1,3}-mer","MiniBatchKMeans",0.0651379906976705,0.0510019380139891,0.0572096745842908,-0.000264259539725268,0.00331199211908953,-0.165297742726334
"low","{1,3}-mer","Spectral",0.0643192588085758,0.0507349961543095,0.0567251919427717,0.000981883463945838,0.00296192527122186,-0.0810328041006069
"low","{1,3}-mer","agglomerative.clust",0.0595325431967037,0.0461653861528912,0.0520037215913546,0.000127596643138362,-0.00241117512210412,-0.128267021618416
"sharon","{1,3}-mer","AffinityPropagation",0.357689092430892,0.242436085844633,0.288990127644833,0.11435274855281,0.218847011939146,-0.0645056393197001
"sharon","{1,3}-mer","BisectingKMeans",0.272977556788205,0.211660243313312,0.238396229214477,0.109176953965311,0.19745033877211,-0.0258752026579167
"sharon","{1,3}-mer","GaussianMixture",0.174594740181221,0.210884666899739,0.19100500367017,0.0882663334632878,0.171750181937959,0.0454965132348136
"sharon","{1,3}-mer","KMeans",0.311223086336225,0.253518038129066,0.27937454154406,0.17669558148224,0.244054617802331,-0.00722529250725706
"sharon","{1,3}-mer","MiniBatchKMeans",0.324321832189598,0.251353617146848,0.283213019133254,0.172145155659061,0.242883842716014,-0.0751273996293798
"sharon","{1,3}-mer","Spectral",0.329029940195836,0.249541736765879,0.283822560691139,0.167241052225937,0.242302602196853,-0.048521816294203
"sharon","{1,3}-mer","agglomerative.clust",0.341343226533509,0.255690997985435,0.292364780500369,0.161716314020712,0.251844837919201,-0.062220302626926
"low","{0,4}-mer","AffinityPropagation",0.122348363071167,0.0813238612503012,0.0977044497427065,5.29359581185485e-05,-0.000667246509125846,-0.128703272878305
"low","{0,4}-mer","BisectingKMeans",0.0551579059258202,0.046304543502949,0.0503449634589547,-0.000476606994084852,5.80806774243781e-05,-0.0546914428436507
"low","{0,4}-mer","GaussianMixture",0.021779694839627,0.0275066448205936,0.0243104411642101,-4.54625005535666e-05,0.000177334261662267,0.0152179875417094
"low","{0,4}-mer","KMeans",0.0494319011986464,0.0417407277535075,0.0452619070873515,0.000149673680525097,-0.00345396449635858,-0.063528256926159
"low","{0,4}-mer","MiniBatchKMeans",0.0601724611676425,0.0482009290264497,0.0535254738251502,-0.000257408404843565,0.000103892181118126,-0.142638437282436
"low","{0,4}-mer","Spectral",0.0641074633985984,0.0508234048136293,0.0566977282006689,-0.00039775353655275,0.00181733271412869,-0.0479373735871599
