"db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette"
"low","{2,2}-mer","agglomerative.clust",0.0631441392064224,0.0541299907091645,0.0582906335956972,0.00318436111699656,0.00463535023649763,0.195336143198753
"mockup","{2,2}-mer","AffinityPropagation",0.451973607487993,0.30768372370769,0.366125401174286,0.106617615474066,0.30531786875325,0.128775317089902
"mockup","{2,2}-mer","BisectingKMeans",0.319517720712742,0.261292229179384,0.287484702708623,0.0934035378363891,0.248616441375283,0.0988078960249465
"mockup","{2,2}-mer","GaussianMixture",0.306259227300146,0.336184963770582,0.320524872570338,0.183271822897445,0.301727492802363,0.163063793693992
"mockup","{2,2}-mer","KMeans",0.368577741097717,0.302619032442681,0.332351494700238,0.12119742190212,0.293349598015411,0.134159083008062
"mockup","{2,2}-mer","MiniBatchKMeans",0.370185444628422,0.310045445408466,0.337449694342318,0.139271440363453,0.299986981977814,0.174582934210988
"mockup","{2,2}-mer","Spectral",0.392690292024338,0.315735809218546,0.350028077311835,0.165205891910491,0.31246813622796,0.0985182072234244
"mockup","{2,2}-mer","agglomerative.clust",0.397783486949648,0.340997861772316,0.367208291689601,0.170935804518674,0.331154048599308,0.195336143198753
"low","{1,3}-mer","AffinityPropagation",0.123338453637363,0.0829420615638736,0.0991847979902836,0.00074507198783352,0.0100585015205129,0.158966776262904
"low","{1,3}-mer","BisectingKMeans",0.0638600927080594,0.051200193470558,0.0568336688581614,0.000290152490015928,0.00314215590548842,0.104958445647955
"low","{1,3}-mer","GaussianMixture",0.0272045511396524,0.0312916766366469,0.0291053303663466,0.000342402442302616,0.00194493216869991,0.15667301839073
"low","{1,3}-mer","KMeans",0.0615069376593188,0.0518013104515465,0.0562384473458074,0.00199878747014285,0.00502602749141122,0.1392838885411
"low","{1,3}-mer","MiniBatchKMeans",0.0616003859153747,0.0522479438675701,0.0565400214770529,-0.000157658806095536,0.00159187583750239,0.18633494086157
"low","{1,3}-mer","Spectral",0.0737623561226763,0.0598323149713816,0.0660710863452919,-0.000727373988853126,0.0117344474656167,0.164482648347443
"low","{1,3}-mer","agglomerative.clust",0.0697510691269993,0.0579460373046742,0.063302891766567,0.0016063275726362,0.00898977304626361,0.204618266344063
"mockup","{1,3}-mer","AffinityPropagation",0.452528144025987,0.304313991900241,0.363908507253561,0.104359248226549,0.300973868897173,0.158966776262904
"mockup","{1,3}-mer","BisectingKMeans",0.333411258883797,0.273118770638487,0.300264722839198,0.105572258120864,0.260663476792038,0.105752054148063
"mockup","{1,3}-mer","GaussianMixture",0.256223485861599,0.299799113466986,0.27630072319564,0.113325295539587,0.256061150358534,0.165624163283167
