"V1","db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette","classes"
0,"med","{2,2}-mer","Spectral",0.464037160881865,0.385297303062371,0.421017335804805,0.162713847310782,0.388469209559186,-0.129000146256405,"Replicate 1"
0,"med","{2,2}-mer","BisectingKMeans",0.503008730455227,0.351961439116419,0.414142347791723,0.0861902466982975,0.371418985907557,-0.177640697564581,"Replicate 1"
0,"med","{2,2}-mer","MiniBatchKMeans",0.593926723111742,0.393372468825085,0.473279879654976,0.116258435153758,0.428878594288023,-0.215011227106966,"Replicate 1"
0,"med","{2,2}-mer","KMeans",0.569611570515047,0.414268896745766,0.479676880968791,0.138709314545912,0.443941395033643,-0.138134136582182,"Replicate 1"
0,"med","{2,2}-mer","agglomerative.clust",0.56731183772585,0.392060456982296,0.463679302763118,0.123398957734145,0.420740915794228,-0.240324724362874,"Replicate 1"
0,"med","{3,1}-mer","AffinityPropagation",0.607614399488115,0.36228173537637,0.453919942916325,0.0792740144286259,0.34937283253309,-0.166247570377375,"Replicate 2"
0,"med","{3,1}-mer","GaussianMixture",0.198892679964628,0.374623388422656,0.259835264634632,0.0649333831682889,0.251480545851041,-0.0132401361445166,"Replicate 2"
0,"med","{3,1}-mer","Spectral",0.396042983910253,0.345126944766513,0.368836078595868,0.147234463962185,0.33827520561295,-0.203958080470906,"Replicate 2"
0,"med","{3,1}-mer","BisectingKMeans",0.466322108600256,0.340166556584878,0.393377347480847,0.0812921038406709,0.351994907828114,-0.23811793605634,"Replicate 2"
0,"med","{3,1}-mer","MiniBatchKMeans",0.551260351425916,0.396650609563934,0.461346610430976,0.151517640870747,0.42100384661615,-0.326876097906712,"Replicate 2"
0,"med","{3,1}-mer","KMeans",0.524849743024662,0.432975758679506,0.474506505150526,0.163600869160902,0.446724793645782,-0.202733527017864,"Replicate 2"
0,"med","{3,1}-mer","agglomerative.clust",0.506926919591195,0.359255567692112,0.420503348774316,0.102861550381888,0.373668355453177,-0.299471067975736,"Replicate 2"
0,"med","{0,4}-mer","AffinityPropagation",0.443597616336517,0.263175083906481,0.330357524731614,-0.000189390171270947,0.159353727986697,-0.094591565950158,"Replicate 2"
0,"med","{0,4}-mer","GaussianMixture",0.163856601236674,0.337773843301593,0.220666327383667,0.016488028417646,0.211747278838392,0.194608204082951,"Replicate 2"
0,"med","{0,4}-mer","Spectral",0.22912917603164,0.26797121951302,0.247032693103926,0.0426972932985812,0.219611276697673,-0.104833632157261,"Replicate 2"
0,"med","{0,4}-mer","BisectingKMeans",0.343665550527495,0.29178423616374,0.315606967715234,0.0205671222017364,0.269032901283945,-0.0931491724963712,"Replicate 2"
0,"med","{0,4}-mer","MiniBatchKMeans",0.441744485162396,0.329414709713633,0.377398421270882,0.0969861450978264,0.332550435147297,-0.265187684903686,"Replicate 2"
0,"med","{0,4}-mer","KMeans",0.382158302938139,0.328980781242915,0.353581289105597,0.0424235793339939,0.313813230903641,-0.100450232278296,"Replicate 2"
0,"med","{0,4}-mer","agglomerative.clust",0.380199509323287,0.317421594836858,0.345985905202445,0.0525803011007796,0.296882367768707,-0.122877411588618,"Replicate 2"
0,"med","{1,3}-mer","AffinityPropagation",0.631562046923839,0.378033790620092,0.472965093024196,0.0736886403663414,0.398845834662705,-0.151220852677049,"Replicate 2"
0,"med","{1,3}-mer","GaussianMixture",0.289901549430372,0.472396776044296,0.359304363513795,0.10742568839704,0.350724024014809,0.0875394797451303,"Replicate 2"
0,"med","{1,3}-mer","Spectral",0.500903437593132,0.425182200607807,0.459947151975275,0.192514939125051,0.432029517494169,-0.116801103515485,"Replicate 2"
0,"med","{1,3}-mer","BisectingKMeans",0.524759288669504,0.361113162449106,0.427821151942823,0.084625737279801,0.385281915677493,-0.178756617834104,"Replicate 2"
0,"med","{1,3}-mer","MiniBatchKMeans",0.6088214577514,0.399036682468146,0.482095812935773,0.111960075253012,0.438158261466836,-0.212908696838902,"Replicate 2"
0,"med","{1,3}-mer","KMeans",0.598122640163386,0.419357413544258,0.49303603043063,0.121841039216306,0.457804177241799,-0.170126054485624,"Replicate 2"
0,"med","{1,3}-mer","agglomerative.clust",0.602079549903063,0.400284502377489,0.480869425587014,0.110138329616059,0.437468890784705,-0.220874488867098,"Replicate 2"
0,"med","{2,2}-mer","AffinityPropagation",0.635870634573931,0.368502607661612,0.466599421654018,0.0717021511506186,0.370214525699314,-0.140004758061027,"Replicate 2"
0,"med","{2,2}-mer","GaussianMixture",0.219012571120557,0.387496881010888,0.279852813218807,0.0722867046931559,0.270527895001375,-0.0564850464939902,"Replicate 2"
0,"med","{2,2}-mer","Spectral",0.451834306347707,0.391552885351105,0.419539277077947,0.188773924118069,0.388468156092583,-0.115456429207011,"Replicate 2"
0,"med","{2,2}-mer","BisectingKMeans",0.503008730455227,0.351961439116419,0.414142347791723,0.0861902466982975,0.371418985907557,-0.177640697564581,"Replicate 2"
0,"med","{2,2}-mer","MiniBatchKMeans",0.600011232802012,0.393454612898029,0.475259795509597,0.110841806000793,0.430730306240842,-0.250387229729122,"Replicate 2"
0,"med","{2,2}-mer","KMeans",0.569572065348406,0.415280685788547,0.480340391253054,0.137845971371225,0.445046891235441,-0.166277470007228,"Replicate 2"
